"numero";"apellidos";"nombres";"fecha_nac";"edad";"nacionalidad";"estatura";"peso";"posición";"Equipo"
"DT";"Úbeda";"Claudio Fernando";17/09/79;37;"Argentina";1,8;77;"Director técnico";"Argentina"
12;"Cambeses";"Facundo";09/04/97;19;"Argentina";1,85;78;"Arquero";"Argentina"
1;"Macagno";"Ramiro";18/03/1997;19;"Argentina";1,85;77;"Arquero";"Argentina"
23;"Petroli";"Franco";11/06/1998;18;"Argentina";1,81;72;"Arquero";"Argentina"
13;"Foyth";"Juan Marcos";12/01/1998;19;"Argentina";1,79;69;"Defensor";"Argentina"
6;"Martinez";"Lisandro";18/01/1998;19;"Argentina";;;"Defensor";"Argentina"
4;"Lucero";"Nahuel Molina";02/12/1997;19;"Argentina";1,77;69;"Defensor";"Argentina"
2;"Romero";"Cristian Gabriel";27/04/1998;18;"Argentina";1,85;;"Defensor";"Argentina"
3;"Valenzuela";"Milton";13/08/1998;18;"Argentina";;;"Defensor";"Argentina"
14;"Zalazar";"Nicolas";29/01/1997;19;"Argentina";1,75;;"Defensor";"Argentina"
5;"Ascacibar";"Santiago";25/02/1997;19;"Argentina";1,67;68;"Volante";"Argentina"
10;"Barco";"Ezequiel";29/03/1999;17;"Argentina";;;"Volante";"Argentina"
17;"Belmonte";"Tomás";27/05/1998;18;"Argentina";;;"Volante";"Argentina"
16;"Chicco";"Julián";13/01/1998;19;"Argentina";1,81;79;"Volante";"Argentina"
11;"Mansilla";"Brian Ezequiel";16/04/1997;19;"Argentina";1,81;70;"Volante";"Argentina"
15;"Moyano";"Franco";13/09/1997;19;"Argentina";;;"Volante";"Argentina"
8;"Ojeda";"Pedor Emmanuel";05/11/1997;19;"Argentina";;;"Volante";"Argentina"
18;"Pereyra";"Joaquin";01/12/1998;18;"Argentina";1,81;71;"Volante";"Argentina"
7;"Rodriguez";"Lucas";27/04/1997;19;"Argentina";1,68;64;"Volante";"Argentina"
19;" Zaracho";"Matias";30/03/1998;18;"Argentina";1,72;64;"Volante";"Argentina"
20;"Conechny";"Tomás";31/03/1998;18;"Argentina";1,68;65;"Delantero";"Argentina"
9;"Martinez";"Lautaro";22/08/1997;19;"Argentina";1,72;79;"Delantero";"Argentina"
22;"Miérez";"Ramón Nazareno";13/05/1997;19;"Argentina";;;"Delantero";"Argentina"
21;"Torres";"Marcelo";06/11/1997;19;"Argentina";;;"Delantero";"Argentina"
;"Sandy Sandusty";"Marco Antonio";29/08/1971;45;"Bolivia";;;"Director técnico";"Bolivia"
23;"Careaga";"Jesús Enrique";09/05/1997;19;"Bolivia";;;"Arquero";"Bolivia"
12;"Claros";"Leonardo";03/04/1998;18;"Bolivia";;;"Arquero";"Bolivia"
1;"Cordano";"Rubén";16/10/1998;18;"Bolivia";1,85;74;"Arquero";"Bolivia"
2;"Mercado";"Juan";06/01/1997;20;"Bolivia";;;"Defensor";"Bolivia"
3;"Carrasco";"Jose Maria";16/08/1997;19;"Bolivia";;;"Defensor";"Bolivia"
16;"Céspedes Velasco";"Harry ";21/07/1998;18;"Bolivia";;69;"Defensor";"Bolivia"
5;"Haquim";"Luis";15/11/1997;19;"Bolivia";;;"Defensor";"Bolivia"
4;"Reyes";"Juan Sebastian";12/03/1997;19;"Bolivia";;;"Defensor";"Bolivia"
6;"Torrico Landivar";"Brandon";30/09/1998;18;"Bolivia";;67;"Defensor";"Bolivia"
20;"Gutierrez Mojica";"Limberg";18/06/1998;18;"Bolivia";1,76;;"Volante";"Bolivia"
13;"Ribera";"Carlos Abelardo";06/02/1997;19;"Bolivia";;;"Volante";"Bolivia"
14;"Roca";"Carlos Daniel";11/05/1997;19;"Bolivia";;;"Volante";"Bolivia"
21;"Roca";"Clovis";21/09/1997;19;"Bolivia";1,7;68;"Volante";"Bolivia"
10;"Vaca";"Ramiro";01/07/1999;17;"Bolivia";;;"Volante";"Bolivia"
22;"Vaca Urquiza";"Henry";27/01/1998;18;"Bolivia";;60;"Volante";"Bolivia"
17;"Velasco Loayza";"Marcelo";05/02/1998;18;"Bolivia";;58;"Volante";"Bolivia"
8;"Villaroel Angulo";"Moisés";07/09/1998;18;"Bolivia";1,7;60;"Volante";"Bolivia"
18;"De Lima";"Marcos Fernando";10/06/1997;19;"Bolivia";;;"Delantero";"Bolivia"
11;"Miranda";"Bruno";10/02/1998;18;"Bolivia";1,8;75;"Delantero";"Bolivia"
9;"Monteiro";"Ronaldo";11/01/1998;19;"Bolivia";;65;"Delantero";"Bolivia"
19;"Panique ";"Delfin";17/02/1997;19;"Bolivia";;;"Delantero";"Bolivia"
15;"Quintanilla ";"Cristian";24/05/1997;19;"Bolivia";;;"Delantero";"Bolivia"
7;"Robledo";"Junior";10/07/1997;19;"Bolivia";;;"Delantero";"Bolivia"
"DT";"Micale";"Rogério";28/03/1997;47;"Brasil";;;"Director técnico";"Brasil"
1;"Perri";"Lucas";10/12/1997;19;"Brasil";1,95;95;"Arquero";"Brasil"
23;;"Caique";31/07/1997;19;"Brasil";1,858;;"Arquero";"Brasil"
12;"Schwengber";"Cleiton";19/08/1997;19;"Brasil";1,9;92;"Arquero";"Brasil"
13;;"Robson";12/11/1997;19;"Brasil";1,84;65;"Defensor";"Brasil"
6;"Arana";"Guilherme";14/04/1997;19;"Brasil";1,78;75;"Defensor";"Brasil"
2;;"Dodó";17/11/1998;18;"Brasil";1,66;68;"Defensor";"Brasil"
16;;"Rogerio";13/01/1998;19;"Brasil";1,78;;"Defensor";"Brasil"
3;"Cunha";"Lucas";23/01/1997;20;"Brasil";1,86;80;"Defensor";"Brasil"
14;;"Gabriel";19/12/1997;19;"Brasil";;;"Defensor";"Brasil"
4;;"Lyanco";01/02/1997;19;"Brasil";;;"Defensor";"Brasil"
15;"Santos";"Leo ";09/12/1998;18;"Brasil";1,86;78;"Defensor";"Brasil"
10;"Paqueta";"Lucas";27/08/1997;19;"Brasil";1,8;72;"Volante";"Brasil"
17;;"Maycon";"158/07/1997";19;"Brasil";1,71;66;"Volante";"Brasil"
7;;"Caio Henrique";31/07/1997;19;"Brasil";1,78;67;"Volante";"Brasil"
5;;"Allan";03/03/1997;19;"Brasil";1,8;70;"Volante";"Brasil"
8;"Luiz";"Douglas";09/05/1998;18;"Brasil";1,78;65;"Volante";"Brasil"
21;;"Giovanny";17/09/1997;19;"Brasil";1,75;68;"Delantero";"Brasil"
18;;"Richarlison";10/05/1997;19;"Brasil";1,79;71;"Delantero";"Brasil"
22;;"Artuzinho";15/02/1998;18;"Brasil";1,68;65;"Delantero";"Brasil"
11;"Neres";"David";03/03/1997;19;"Brasil";1,77;74;"Delantero";"Brasil"
9;"Vizeu";"Felipe";12/03/1997;19;"Brasil";1,84;81;"Delantero";"Brasil"
19;"Jabá";"Léo";02/08/1998;18;"Brasil";1,78;75;"Delantero";"Brasil"
20;"Savio";"Matheus";15/04/1997;19;"Brasil";1,71;62;"Delantero";"Brasil"
"DT";"Robles";"Hector";07/09/1971;45;"Chile";;;"Director técnico";"Chile"
1;"Collao";"Gonzalo";09/04/1990;26;"Chile";;;"Arquero";"Chile"
23;"López";"Zacarias";30/06/1998;18;"Chile";1,83;70;"Arquero";"Chile"
12;"Manosalva";"Brayan";14/01/1997;20;"Chile";;;"Arquero";"Chile"
5;"González";"Diego";29/04/1998;18;"Chile";1,84;74;"Defensor";"Chile"
4;"Gutierrez";"Cristian";18/02/1997;19;"Chile";1,79;69;"Defensor";"Chile"
18;"Seijuro Kimura";"Nozomi";23/01/1997;20;"Chile";;;"Defensor";"Chile"
3;"Ramirez";"Nicolas";01/05/1997;19;"Chile";1,82;70;"Defensor";"Chile"
2;"Rebolledo";"Raimundo";14/05/1997;19;"Chile";1,82;70;"Defensor";"Chile"
13;"Sierralta";"Francisco";06/05/1997;19;"Chile";1,8;70;"Defensor";"Chile"
8;"Suazo";"Gabriel";09/08/1997;19;"Chile";1,78;69;"Defensor";"Chile"
17;"Vásquez";"Kevin";27/06/1997;19;"Chile";;;"Defensor";"Chile"
14;"Araos";"Angelo";06/01/1997;20;"Chile";1,77;65;"Volante";"Chile"
11;"Carreño";"Jaime";03/03/1997;19;"Chile";1,65;66;"Volante";"Chile"
20;"Cuadra";"Adrián";23/10/1997;19;"Chile";;;"Volante";"Chile"
6;"Leiva";"Yerko";14/06/1998;18;"Chile";1,62;53;"Volante";"Chile"
21;"Lobos ";"Carlos";21/02/1997;19;"Chile";1,73;68;"Volante";"Chile"
7;"Dávila";"Victor";20/09/1997;19;"Chile";1,68;70;"Delantero";"Chile"
16;"Fritz";"Felipe";23/09/1997;19;"Chile";1,81;70;"Delantero";"Chile"
15;"Jara";"Ignacio";11/02/1996;20;"Chile";;;"Delantero";"Chile"
19;"Morales";"Iván";29/07/1999;17;"Chile";1,78;69;"Delantero";"Chile"
9;"Paredes";"Richard";24/06/1996;20;"Chile";;;"Delantero";"Chile"
22;"Sierra";"José Luis";24/01/1997;20;"Chile";1,83;74;"Delantero";"Chile"
10;"Vargas";"Jeison";15/09/1997;19;"Chile";1,7;68;"Delantero";"Chile"
"DT";"Restrepo";"Carlos";05/03/1961;55;"Colombia";;;"Director técnico";"Colombia"
12;"Arias";"Manuel";12/12/1997;19;"Colombia";1,88;81;"Arquero";"Colombia"
1;"Garcia";"Luis";20/03/1998;18;"Colombia";1,83;75;"Arquero";"Colombia"
23;"Mora ";"Jaime";12/06/1997;19;"Colombia";1,9;85;"Arquero";"Colombia"
5;"Arroyo";"Anderson";27/09/1999;17;"Colombia";1,8;70;"Defensor";"Colombia"
4;"Castro";"Joan";13/01/1997;20;"Colombia";1,8;70;"Defensor";"Colombia"
15;"Chaverra Renteria";"Leyser";01/04/1997;19;"Colombia";1,77;77;"Defensor";"Colombia"
2;"Cuesta";"Carlos";09/03/1999;17;"Colombia";1,78;67;"Defensor";"Colombia"
22;"Fuentes";"Gabriel";09/02/1997;19;"Colombia";1,8;70;"Defensor";"Colombia"
14;"Paz ";"Breiner";27/09/1997;19;"Colombia";1,82;;"Defensor";"Colombia"
3;"Segura";"Jorge";18/01/1997;20;"Colombia";1,76;75;"Defensor";"Colombia"
20;"Atuesta";"Eduard";18/06/1997;19;"Colombia";;;"Volante";"Colombia"
8;"Balanta";"Kevin";28/04/1997;19;"Colombia";1,79;73;"Volante";"Colombia"
18;"Balanta";"Harold";16/03/1998;18;"Colombia";;;"Volante";"Colombia"
17;"Diaz";"Luis";13/01/1997;20;"Colombia";1,78;65;"Volante";"Colombia"
